Original Image Patch,Binary Mask Image Patch
C:/Users/User/Desktop/Edges/patched_images\DSC_5082_original_patch43.png,C:/Users/User/Desktop/Edges/patched_images\DSC_5082_binarymask_patch43.png
C:/Users/User/Desktop/Edges/patched_images\0V5A3736_original_patch92.png,C:/Users/User/Desktop/Edges/patched_images\0V5A3736_binarymask_patch92.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0276_original_patch64.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0276_binarymask_patch64.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0107_original_patch152.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0107_binarymask_patch152.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0275_original_patch326.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0275_binarymask_patch326.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0052_original_patch135.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0052_binarymask_patch135.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0234_original_patch46.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0234_binarymask_patch46.png
C:/Users/User/Desktop/Edges/patched_images\DSC_5065_original_patch76.png,C:/Users/User/Desktop/Edges/patched_images\DSC_5065_binarymask_patch76.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0489_original_patch62.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0489_binarymask_patch62.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0138_original_patch41.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0138_binarymask_patch41.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0065_original_patch47.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0065_binarymask_patch47.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0234_original_patch255.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0234_binarymask_patch255.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0275_original_patch72.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0275_binarymask_patch72.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0052_original_patch55.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0052_binarymask_patch55.png
C:/Users/User/Desktop/Edges/patched_images\DSC_5053_original_patch155.png,C:/Users/User/Desktop/Edges/patched_images\DSC_5053_binarymask_patch155.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0234_original_patch129.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0234_binarymask_patch129.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0491_original_patch100.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0491_binarymask_patch100.png
C:/Users/User/Desktop/Edges/patched_images\DSC_5049_original_patch120.png,C:/Users/User/Desktop/Edges/patched_images\DSC_5049_binarymask_patch120.png
C:/Users/User/Desktop/Edges/patched_images\0V5A3666_original_patch133.png,C:/Users/User/Desktop/Edges/patched_images\0V5A3666_binarymask_patch133.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0404_original_patch227.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0404_binarymask_patch227.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0997_original_patch135.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0997_binarymask_patch135.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0948_original_patch188.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0948_binarymask_patch188.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0997_original_patch23.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0997_binarymask_patch23.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0144_original_patch123.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0144_binarymask_patch123.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0081_original_patch176.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0081_binarymask_patch176.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0034_original_patch182.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0034_binarymask_patch182.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0302_original_patch168.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0302_binarymask_patch168.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0275_original_patch305.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0275_binarymask_patch305.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0413_original_patch112.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0413_binarymask_patch112.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0138_original_patch97.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0138_binarymask_patch97.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0059_original_patch57.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0059_binarymask_patch57.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0107_original_patch330.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0107_binarymask_patch330.png
C:/Users/User/Desktop/Edges/patched_images\0V5A4035_original_patch62.png,C:/Users/User/Desktop/Edges/patched_images\0V5A4035_binarymask_patch62.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0051_original_patch136.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0051_binarymask_patch136.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0051_original_patch131.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0051_binarymask_patch131.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0107_original_patch45.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0107_binarymask_patch45.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0234_original_patch10.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0234_binarymask_patch10.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0011_original_patch192.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0011_binarymask_patch192.png
C:/Users/User/Desktop/Edges/patched_images\0V5A3666_original_patch124.png,C:/Users/User/Desktop/Edges/patched_images\0V5A3666_binarymask_patch124.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0076_original_patch258.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0076_binarymask_patch258.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0059_original_patch67.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0059_binarymask_patch67.png
C:/Users/User/Desktop/Edges/patched_images\CZBJ2377_original_patch34.png,C:/Users/User/Desktop/Edges/patched_images\CZBJ2377_binarymask_patch34.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0107_original_patch222.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0107_binarymask_patch222.png
C:/Users/User/Desktop/Edges/patched_images\DSC_5053_original_patch67.png,C:/Users/User/Desktop/Edges/patched_images\DSC_5053_binarymask_patch67.png
C:/Users/User/Desktop/Edges/patched_images\DSC_5065_original_patch125.png,C:/Users/User/Desktop/Edges/patched_images\DSC_5065_binarymask_patch125.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0034_original_patch116.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0034_binarymask_patch116.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0234_original_patch145.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0234_binarymask_patch145.png
C:/Users/User/Desktop/Edges/patched_images\0V5A3666_original_patch78.png,C:/Users/User/Desktop/Edges/patched_images\0V5A3666_binarymask_patch78.png
C:/Users/User/Desktop/Edges/patched_images\0V5A3736_original_patch2.png,C:/Users/User/Desktop/Edges/patched_images\0V5A3736_binarymask_patch2.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0276_original_patch33.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0276_binarymask_patch33.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0275_original_patch147.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0275_binarymask_patch147.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0067_original_patch120.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0067_binarymask_patch120.png
C:/Users/User/Desktop/Edges/patched_images\0V5A4035_original_patch40.png,C:/Users/User/Desktop/Edges/patched_images\0V5A4035_binarymask_patch40.png
C:/Users/User/Desktop/Edges/patched_images\0V5A3736_original_patch56.png,C:/Users/User/Desktop/Edges/patched_images\0V5A3736_binarymask_patch56.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0796_original_patch202.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0796_binarymask_patch202.png
C:/Users/User/Desktop/Edges/patched_images\0V5A4035_original_patch1.png,C:/Users/User/Desktop/Edges/patched_images\0V5A4035_binarymask_patch1.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0413_original_patch80.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0413_binarymask_patch80.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0183_original_patch154.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0183_binarymask_patch154.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0194_original_patch144.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0194_binarymask_patch144.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0107_original_patch85.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0107_binarymask_patch85.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0443_original_patch141.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0443_binarymask_patch141.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0284_original_patch184.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0284_binarymask_patch184.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0226_original_patch297.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0226_binarymask_patch297.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0138_original_patch121.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0138_binarymask_patch121.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0275_original_patch301.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0275_binarymask_patch301.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0051_original_patch133.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0051_binarymask_patch133.png
C:/Users/User/Desktop/Edges/patched_images\DSC_5049_original_patch237.png,C:/Users/User/Desktop/Edges/patched_images\DSC_5049_binarymask_patch237.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0107_original_patch142.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0107_binarymask_patch142.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0144_original_patch67.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0144_binarymask_patch67.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0115_original_patch137.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0115_binarymask_patch137.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0040_original_patch201.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0040_binarymask_patch201.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0997_original_patch151.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0997_binarymask_patch151.png
C:/Users/User/Desktop/Edges/patched_images\DSC00659_original_patch140.png,C:/Users/User/Desktop/Edges/patched_images\DSC00659_binarymask_patch140.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0135_original_patch135.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0135_binarymask_patch135.png
C:/Users/User/Desktop/Edges/patched_images\DSC_5065_original_patch210.png,C:/Users/User/Desktop/Edges/patched_images\DSC_5065_binarymask_patch210.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0115_original_patch24.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0115_binarymask_patch24.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0040_original_patch221.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0040_binarymask_patch221.png
C:/Users/User/Desktop/Edges/patched_images\DSC00888_original_patch11.png,C:/Users/User/Desktop/Edges/patched_images\DSC00888_binarymask_patch11.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0065_original_patch13.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0065_binarymask_patch13.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0225_original_patch297.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0225_binarymask_patch297.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0050_original_patch55.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0050_binarymask_patch55.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0052_original_patch188.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0052_binarymask_patch188.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0284_original_patch89.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0284_binarymask_patch89.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0081_original_patch6.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0081_binarymask_patch6.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0051_original_patch204.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0051_binarymask_patch204.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0011_original_patch42.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0011_binarymask_patch42.png
C:/Users/User/Desktop/Edges/patched_images\0V5A3736_original_patch58.png,C:/Users/User/Desktop/Edges/patched_images\0V5A3736_binarymask_patch58.png
